id,intent,question,answer,tags
faq_001,rc_contrato_nao_gerou_pedido,O que acontece com requisições com apontamento em contrato que não geraram pedido?,"A decisão foi remover o vínculo do contrato dessas linhas e migrar as requisições. No S/4, elas seguirão como compra Spot, sob responsabilidade do comprador/especialista de Suprimentos.","RC, contrato, migração, Spot"
faq_002,motivo_nao_migrar_rc_com_contrato,Por que essas RCs com contrato não foram simplesmente migradas com o contrato vinculado?,"Porque as requisições migram antes dos contratos e muitas estavam vinculadas a contratos vencidos, bloqueados, sem saldo, sem quantidade ou com valores/quantidades ultrapassados. Manter o vínculo poderia gerar erro ou apontar para contrato que não migrará corretamente.","RC, contrato, erro, cutover"
faq_003,rc_estoque_mrp,RCs de estoque entram nessa migração/desvinculação?,Não. RCs de estoque não serão tratadas nesse processo; o MRP deve gerar a demanda diretamente no S/4.,"estoque, MRP, RC"
faq_004,regra_migracao_rc,Qual é a regra geral para RC migrar?,A regra mencionada é migrar requisições emitidas e aprovadas a partir de 01/01/2026. RCs pendentes de aprovação não entram na migração.,"RC, migração, aprovação"
faq_005,datas_pedido_contrato,Quando pedidos e contratos serão extraídos/migrados?,"Pedidos e contratos só podem ser extraídos do ECC a partir de 24/06, após a entrada de notas até 23/06. A subida/migração está prevista a partir de 02/07, com conclusão prevista em 05/07.","pedido, contrato, datas, migração"
faq_006,validar_contratos_pedidos_migrados,Quando os usuários conseguirão validar se contratos e pedidos subiram corretamente?,"A visualização/validação está prevista somente após a conclusão das cargas, em torno de 05/07. Antes do Go Live não haverá disponibilidade completa para validação em produção devido às dependências de cargas predecessoras.","validação, contrato, pedido, produção"
faq_007,risco_migracao_transacional,Qual é o principal risco da migração transacional?,"O principal risco é a dependência das cargas predecessoras, como material, BP/fornecedor, ampliação, centro de custo, ordem e PEP. Se esses dados não estiverem saneados/migrados, a ferramenta de migração pode apresentar erro no documento de compra.","risco, dados mestres, BP, material, migração"
faq_008,fluxo_contingencia,Como funciona a contingência?,"A contingência formaliza demandas urgentes durante a indisponibilidade/blackout. Ela passa por aprovação da área/gestão e depois pelo comitê de contingência/Controladoria. Após aprovação, a demanda é direcionada ao comprador indicado para iniciar o processo de compra.","contingência, aprovação, comprador"
faq_009,compra_antes_aprovacao_contingencia,Suprimentos compra antes da contingência ser aprovada?,"Não. A compra só começa após a aprovação completa da contingência. Enquanto estiver pendente, a área solicitante deve acompanhar e cobrar o aprovador responsável.","contingência, aprovação, compra"
faq_010,acompanhar_status_contingencia,Como acompanhar onde está parada a contingência?,"Foi deliberado o envio diário da planilha/status das contingências no primeiro horário, permitindo identificar se está com o gerente da área, Controladoria/comitê ou comprador, e fazer o follow-up correto.","contingência, status, follow-up"
faq_011,aprovacao_email_contingencia,Aprovação por e-mail do gerente já libera a contingência?,Não. A aprovação precisa ocorrer no fluxo/formulário correto. Aprovação por e-mail não substitui a aprovação formal exigida para a contingência seguir.,"contingência, forms, e-mail, aprovação"
faq_012,pedido_ecc_nao_aprovado,O que fazer com concorrência já feita ou pedido do ECC que não foi aprovado antes do blackout?,"A orientação é usar o Bid Tab e colher aprovação via DocuSign conforme COA/alçada aplicável. Após retorno do SAP, o pedido deve ser formalizado no sistema com as evidências anexadas.","ECC, pedido, Bid Tab, DocuSign, COA"
faq_013,forms_pedido_nao_aprovado,Precisa criar um novo Forms para pedido não aprovado no ECC?,"Não foi aprovado criar novo Forms para esse caso. A deliberação foi usar o fluxo já conhecido de Bid Tab + DocuSign + COA, mantendo governança e registro para auditoria.","Forms, Bid Tab, DocuSign, governança"
faq_014,regularizar_contingencia_sem_rc,"Depois que o S/4 voltar, contingência sem RC precisará de RC?","Sim. Para demandas que nasceram na contingência sem RC, a área demandante deverá criar a requisição no S/4 para que o comprador vincule/regularize o pedido. Foi reforçado que todo pedido precisa ter RC vinculada.","S4, contingência, RC, pedido"
faq_015,rc_ecc_migrada_gerar_pedido_s4,"Se já havia RC aprovada no ECC, o que fazer no S/4?","Se a RC aprovada migrar para o S/4, o comprador deve capturar essa RC e gerar o pedido no S/4. Esse caso é diferente da contingência que nasceu sem RC.","ECC, S4, RC, pedido"
faq_016,o_que_e_sync_agent,O que é o S4/Sourcing Sync Agent?,"É um agente de IA/chat interativo criado para Suprimentos responder dúvidas recorrentes sobre blackout, contingência, key users, datas e regras do projeto S/4. Ele deve ser usado para reduzir acionamentos repetitivos ao time do projeto e à liderança.","agente, IA, FAQ, Suprimentos"
faq_017,compartilhar_agent_companhia,O agente pode ser compartilhado com toda a companhia?,Não. O agente foi criado para uso de Suprimentos e sua base de conhecimento está focada nos processos e dúvidas dessa área. Ele não deve ser divulgado como canal geral para toda a companhia.,"agente, Suprimentos, escopo"
faq_018,agent_nao_responde,O que fazer se o agente não souber responder uma dúvida?,"Acione o time do projeto para avaliar a dúvida e incluir a resposta na base de conhecimento do agente, quando aplicável.","agente, base de conhecimento, suporte"
faq_019,novos_treinamentos,Ainda haverá novas turmas de treinamento?,"Até o momento da reunião, os últimos treinamentos haviam sido realizados, incluindo treinamento de pedido de contrato com cerca de 48 participantes. As gravações e materiais devem ser revisitados por quem não conseguiu participar.","treinamento, gravação, pedido de contrato"
faq_020,papel_lideranca_cutover,Qual o papel das lideranças no período de cutover?,"As lideranças devem disseminar informações, dar visibilidade aos times, direcionar dúvidas para canais corretos, evitar boatos e trazer problemas de forma objetiva para solução. A presença da liderança é considerada mais efetiva do que apenas comunicados por e-mail.","liderança, gestão da mudança, comunicação, cutover"
